Token,Last 12 Months,Since October 2020,Year-to-Date (2022),Last Year (2021),Last 180 Days,Last 90 Days,Last 30 Days
Solana (SOL),6.63,56.53,0.77,112.51,0.78,0.74,1.47
Terra (LUNA),6.47,372.82,1.4,130.5,2.55,1.34,1.33
Polygon (MATIC),4.31,95.84,0.65,144.0,1.29,0.65,1.09
Avalanche (AVAX),3.58,25.01,0.95,33.83,1.59,0.92,1.25
NEAR (NEAR),3.16,16.17,1.29,10.49,2.48,1.31,1.63
Ethereum (ETH),1.75,9.85,1.02,4.99,1.1,0.97,1.32
Cosmos (ATOM),1.56,5.54,0.98,5.01,0.86,0.89,1.0
BNB Chain (BNB),1.39,15.21,0.92,13.67,1.1,0.88,1.16
Cardano (ADA),1.02,11.31,0.93,7.2,0.55,0.88,1.4
Bitcoin (BTC),0.82,4.25,1.05,1.6,0.99,1.03,1.18
Algorand (ALGO),0.65,2.69,0.53,4.94,0.45,0.53,1.14
Polkadot (DOT),0.59,5.76,0.9,2.88,0.77,0.81,1.32
